state,city,event_type,count
Seoul,Seoul,product,279
Seoul,Seoul,department,192
New York,New York,product,172
Tokyo,Tokyo,product,164
Seoul,Seoul,cart,135
New York,New York,department,125
Bahia,Salvador,product,105
New York,New York,cart,104
São Paulo,São Paulo,product,98
Tokyo,Tokyo,department,93
Tokyo,Tokyo,cart,89
Incheon Metropolitan City,Incheon Metropolitan City,product,87
England,London,department,87
England,London,cart,87
São Paulo,São Paulo,cart,84
São Paulo,São Paulo,department,80
New South Wales,Sydney,cart,78
Guangdong,Beijing,product,77
Bahia,Salvador,department,76
Bahia,Salvador,cart,73
Guangdong,Shanghai,product,70
Comunidad de Madrid,Madrid,product,69
Guangdong,Beijing,cart,65
Busan,Busan,department,64
Busan,Busan,cart,64
New South Wales,Sydney,product,63
Shanghai,Beijing,product,61
Guangdong,Shanghai,cart,61
New South Wales,Sydney,department,59
England,London,product,57
Guangdong,Beijing,department,57
Incheon Metropolitan City,Incheon Metropolitan City,department,56
Victoria,Melbourne,cart,55
Victoria,Melbourne,product,55
Gyeonggi-do,Yongin City,product,54
Texas,Houston,department,52
Victoria,Melbourne,department,51
Texas,Houston,cart,51
Incheon Metropolitan City,Incheon Metropolitan City,cart,50
Guangdong,Shanghai,department,49
Beijing,Shanghai,product,47
Distrito Federal,Brasília,cart,47
Comunidad de Madrid,Madrid,department,46
Distrito Federal,Brasília,department,45
California,Los Angeles,cart,45
Berlin,Berlin,cart,45
Liaoning,Shanghai,product,44
Seoul,Seoul,cancel,43
Comunidad de Madrid,Madrid,cart,42
Rio de Janeiro,Rio de Janeiro,product,42
Distrito Federal,Brasília,product,42
Shanghai,Beijing,department,41
Texas,Houston,product,41
Shanghai,Shanghai,product,41
Amazonas,Manaus,department,40
Maranhão,São Luís,cart,40
Busan,Busan,product,39
Kanagawa,Yokohama City,product,39
Ceará,Fortaleza,cart,38
Queensland,Brisbane,product,37
Beijing,Shanghai,cart,37
Guangdong,Shenzhen,product,36
Île-de-France,Paris,department,36
Rio de Janeiro,Duque de Caxias,product,36
California,Los Angeles,department,36
Gyeonggi-do,Hwaseong City,product,36
Shanghai,Beijing,cart,35
Illinois,Chicago,department,35
Amazonas,Manaus,product,35
Paraná,Curitiba,department,35
Shanghai,Shanghai,cart,34
Rio de Janeiro,Rio de Janeiro,cart,34
Maranhão,São Luís,department,34
Ceará,Fortaleza,department,34
Rio de Janeiro,Rio de Janeiro,department,33
Jiangsu,Shanghai,product,33
Daegu Metropolitan City,Daegu Metropolitan City,product,33
Daegu Metropolitan City,Daegu Metropolitan City,cart,33
Guangdong,Shenzhen,cart,33
Illinois,Chicago,cart,33
Guangdong,Chengdu,product,32
Seoul,Seoul,purchase,32
Beijing,Suzhou,product,32
Paraná,Curitiba,cart,32
Berlin,Berlin,product,32
Guangdong,Wuhan,product,32
California,Los Angeles,product,31
Gyeonggi-do,Yongin City,department,31
Nevada,Las Vegas,department,31
Guangdong,Tianjin,department,29
Inner Mongolia Autonomous Region,Beijing,product,29
Minas Gerais,Uberlândia,product,29
Gyeonggi-do,Bucheon City,product,29
Daegu Metropolitan City,Daegu Metropolitan City,department,29
Amazonas,Manaus,cart,28
Rio de Janeiro,Duque de Caxias,department,28
Paraná,Curitiba,product,28
Beijing,Beijing,product,28
New York,New York,cancel,28
Île-de-France,Paris,cart,28
Fujian,Dongguan,product,28
Illinois,Chicago,product,28
Guangdong,Dongguan,product,27
Nevada,Las Vegas,cart,27
Beijing,Shanghai,department,27
Berlin,Berlin,department,27
Daejeon,Daejeon,product,27
Guangdong,Wuhan,cart,27
Beijing,Suzhou,cart,27
Gyeonggi-do,Suwon City,product,27
Liaoning,Shanghai,cart,27
Beijing,Beijing,cart,26
Guangdong,Shenzhen,department,26
Ceará,Fortaleza,product,26
Guangdong,Tianjin,product,26
North Carolina,Charlotte,product,26
Tokyo,Tokyo,cancel,26
Guangdong,Fuzhou,product,25
New York,New York,purchase,25
Jiangsu,Shanghai,department,25
Zhejiang,Beijing,product,25
Shanghai,Hefei,product,25
Shanghai,Chengdu,product,25
Shanghai,Shanghai,department,25
Guangdong,Suzhou,product,25
Guangdong,Dongguan,cart,25
Texas,San Antonio,cart,24
Jiangsu,Shanghai,cart,24
Guangdong,Suzhou,department,24
Liaoning,Shanghai,department,24
Seoul,Seoul,home,24
Guangdong,Tianjin,cart,24
Kanagawa,Kawasaki City,product,23
Pennsylvania,Philadelphia,product,23
Guangdong,Hefei,product,23
Kanagawa,Yokohama City,cart,23
Gyeonggi-do,Yongin City,cart,22
Rio de Janeiro,Duque de Caxias,cart,22
South Australia,Adelaide,cart,22
Henan,Shanghai,product,22
California,San Diego,cart,22
Inner Mongolia Autonomous Region,Beijing,department,22
Arizona,Phoenix,cart,22
Arizona,Phoenix,product,22
Shanghai,Hefei,department,22
Gyeonggi-do,Goyang City,product,22
Shanxi,Shanghai,product,21
Fujian,Shenzhen,product,21
Île-de-France,Paris,product,21
Guangdong,Foshan,product,21
Queensland,Brisbane,cart,21
Zhejiang,Shenzhen,department,21
Hamburg,Hamburg,cart,21
Zhejiang,Shenzhen,product,21
Cataluña,Barcelona,department,21
Guangdong,Nanjing,product,21
Shanghai,Chengdu,department,21
Guangdong,Handan,product,20
Bahia,Salvador,cancel,20
Gyeonggi-do,Ansan City,cart,20
Hamburg,Hamburg,product,20
Hunan,Suzhou,product,20
Guangdong,Wuhan,department,20
Zhejiang,Beijing,department,20
Cataluña,Barcelona,cart,20
Nevada,Las Vegas,product,20
Guangdong,Nanjing,cart,20
Shanghai,Dalian,product,20
Shanghai,Tianjin,product,20
Kanagawa,Yokohama City,department,20
Gyeonggi-do,Goyang City,department,19
Gyeonggi-do,Suwon City,department,19
Hubei,Shenzhen,product,19
California,San Diego,department,19
Pennsylvania,Philadelphia,department,19
Beijing,Zhongshan,product,19
Guangdong,Dongguan,department,19
Gyeonggi-do,Hwaseong City,department,19
Beijing,Wenzhou,product,19
Texas,San Antonio,department,19
Hebei,Shanghai,department,19
Queensland,Brisbane,department,19
Inner Mongolia Autonomous Region,Beijing,cart,19
Hebei,Beijing,cart,19
Dolnośląskie,Bogatynia,cart,18
Guangdong,Wenzhou,product,18
Henan,Shanghai,cart,18
Shanghai,Wuhan,cart,18
Guangdong,Chengdu,department,18
Gyeonggi-do,Namyangju City,product,18
Zhejiang,Shanghai,cart,18
Guangdong,Chengdu,cart,18
Gyeonggi-do,Ansan City,department,18
Pará,Belém,cart,18
South Australia,Adelaide,product,18
Maranhão,São Luís,product,18
Gyeonggi-do,Namyangju City,department,18
Shanghai,Hangzhou,product,18
Shanghai,Dalian,department,18
Jilin,Shanghai,product,18
Gyeonggi-do,Ansan City,product,18
Bahia,Salvador,purchase,18
Gyeonggi-do,Anyang City,product,18
Minas Gerais,Uberlândia,department,18
Guangdong,Shenyang,product,18
Guangdong,Chongqing,department,17
Pernambuco,Recife,product,17
Maryland,Baltimore,cart,17
Guangdong,Chongqing,cart,17
Beijing,Beijing,department,17
Tokyo,Tokyo,purchase,17
Western Australia,Perth,department,17
Hebei,Beijing,department,17
Henan,Shanghai,department,17
Nordrhein-Westfalen,Köln,cart,17
Nordrhein-Westfalen,Köln,product,17
Gyeonggi-do,Bucheon City,department,17
Guangdong,Foshan,cart,17
Shanghai,Hefei,cart,17
Provence-Alpes-Côte d'Azur,Marseille,department,17
Shanghai,Wuhan,product,17
Shanghai,Dongguan,product,17
Jilin,Shan Tou,cart,17
Hebei,Beijing,product,16
Provence-Alpes-Côte d'Azur,Marseille,product,16
Hebei,Chengdu,cart,16
Flanders,Antwerp,product,16
Ohio,Columbus,product,16
Jilin,Shenzhen,product,16
Sichuan,Taiyuan,department,16
Fujian,Shanghai,department,16
Arizona,Phoenix,department,16
Guangdong,Chongqing,product,16
Hunan,Dongguan,product,16
Andalucía,Sevilla,product,16
Pará,Belém,department,16
Bayern,München,product,16
Shandong,Baoding,department,16
Gyeonggi-do,Seongnam City,product,16
Hamburg,Hamburg,department,16
Nordrhein-Westfalen,Dortmund,product,16
New York,New York,home,15
Guangdong,Nanjing,department,15
Hubei,Chengdu,department,15
Shanghai,Taiyuan,cart,15
Gyeonggi-do,Suwon City,cart,15
Guangdong,Fuzhou,cart,15
Fujian,Dongguan,department,15
Jilin,Shenzhen,department,15
Guangdong,Yinchuan,department,15
Texas,Fort Worth,cart,15
Amapá,Macapá,cart,15
Sichuan,Beijing,department,15
Henan,Guangzhou,product,15
Inner Mongolia Autonomous Region,Shan Tou,product,15
Beijing,NanNing,cart,15
Gyeonggi-do,Hwaseong City,cart,15
Zhejiang,Shenzhen,cart,15
Hebei,Handan,cart,15
Indiana,Indianapolis,product,15
São Paulo,Campinas,product,15
Guangdong,Wenzhou,department,15
Shanghai,Changchun,cart,15
Shanghai,Chengdu,cart,15
Andalucía,Málaga,product,15
Florida,Jacksonville,product,15
New South Wales,Sydney,home,15
Beijing,Qingdao,product,14
Gyeonggi-do,Bucheon City,cart,14
Shanghai,Guiyang,product,14
Beijing,NanNing,product,14
São Paulo,São Paulo,cancel,14
Jiangsu,Xi'an,cart,14
Hebei,Handan,product,14
Jiangsu,Xi'an,product,14
Guangdong,Yueyang,product,14
Western Australia,Perth,product,14
Zhejiang,Dongguan,product,14
Liaoning,Wuhan,product,14
Jiangsu,Xiamen,cart,14
Gyeonggi-do,Uijeongbuxi,product,14
Guangdong,Guangzhou,product,14
Fujian,Dongguan,cart,14
Bayern,München,department,14
Hebei,Shenzhen,cart,14
Distrito Federal,Brasília,cancel,14
Guangdong,Dandong,product,14
Dolnośląskie,Bogatynia,product,14
Anhui,Shenzhen,product,14
Chungcheongnam-do,Cheonan City,product,14
Cataluña,Barcelona,product,14
Zhejiang,Tianjin,product,14
South Australia,Adelaide,department,14
Jilin,Shan Tou,product,14
Hunan,Shanghai,product,14
Beijing,Suzhou,department,14
Shanghai,Zhuzhou,department,14
Guangdong,Xiamen,product,14
Shanghai,Changchun,department,14
North Carolina,Charlotte,department,14
Zhejiang,Zunyi,product,14
Anhui,Shanghai,product,14
Guangdong,Harbin,department,14
Aragón,Zaragoza,product,14
Andalucía,Sevilla,department,13
Zhejiang,Hangzhou,product,13
Pernambuco,Recife,cart,13
Shanghai,Changchun,product,13
Minas Gerais,Uberlândia,cart,13
Busan,Busan,cancel,13
Sichuan,Beijing,cart,13
Pará,São Félix do Xingu,cart,13
Busan,Busan,home,13
São Paulo,Ribeirão Preto,product,13
Beijing,Huaihua,product,13
Gyeonggi-do,Anyang City,cart,13
Arizona,Tucson,cart,13
Bahia,Simões Filho,product,13
Inner Mongolia Autonomous Region,Wuhan,product,13
Guangdong,Jilin,department,13
Jiangsu,Nanjing,product,13
Jiangsu,Nanjing,department,13
Gyeonggi-do,Paju City,cart,13
Guangdong,Huizhou,department,13
Texas,Dallas,cart,13
Henan,Shan Tou,product,13
Shanxi,Foshan,product,13
Jiangsu,Guangzhou,product,13
Pará,Belém,product,13
Lubuskie,Gorzów Wielkopolski,department,13
Shandong,Harbin,product,13
Guangdong,Jieyang,department,13
California,San Jose,department,13
Ulsan Metropolitan City,Ulsan Metropolitan City,cart,13
Gwangju,Gwangju,cart,13
Shanghai,Taiyuan,department,13
Espírito Santo,Serra,product,13
Heilongjiang,Wenzhou,department,13
Hebei,Shanghai,product,13
Guangdong,Changchun,product,13
Hubei,Chengdu,product,13
Anhui,Guiyang,product,13
Guangdong,Harbin,cart,13
Guangdong,Shan Tou,department,13
Guangdong,Harbin,product,13
Heilongjiang,Wenzhou,product,13
Zhejiang,Beijing,cart,13
Texas,Austin,cart,13
Shandong,Yulin,product,13
Guangdong,Jilin,product,13
Heilongjiang,Wenzhou,cart,13
Shanghai,Dongguan,department,13
Shanghai,Dongguan,cart,13
Pennsylvania,Philadelphia,cart,13
Zhejiang,Tangshan,product,12
Guangdong,Handan,department,12
Anhui,Beijing,product,12
Henan,Huizhou,cart,12
Maranhão,Paço do Lumiar,cart,12
Guangdong,Lan'Zhou,product,12
Guangdong,Huizhou,cart,12
Guangdong,Suzhou,cart,12
Hunan,Changsha,product,12
Fujian,Suzhou,cart,12
Guangdong,Lan'Zhou,department,12
Texas,Fort Worth,department,12
Guangdong,Shanwei,department,12
Anhui,Shanghai,department,12
Guangdong,Hohhot,product,12
Pará,Ananindeua,cart,12
Guangdong,Hohhot,cart,12
Fujian,Shenzhen,cart,12
Hubei,Shenzhen,cart,12
California,San Jose,product,12
Guangdong,Shenyang,department,12
Jiangsu,Wenzhou,product,12
England,London,home,12
England,Birmingham,cart,12
Jiangsu,Zhengzhou,product,12
California,Los Angeles,home,12
Chung-cheong bukdo,Cheongju City,product,12
England,Birmingham,department,12
Sichuan,Taiyuan,product,12
Comunidad Valenciana,Valencia,product,12
Busan,Busan,purchase,12
Jiangsu,Jiangmen,product,12
Shanghai,Xi'an,product,12
Provence-Alpes-Côte d'Azur,Marseille,cart,12
Michigan,Detroit,product,12
Hainan,Shanghai,product,12
Guizhou,Shenzhen,product,12
Shanghai,Tianjin,department,12
Nordrhein-Westfalen,Gelsenkirchen,product,12
California,Oakland,department,12
Guizhou,Baoding,department,12
Guangdong,Beijing,home,12
Texas,Austin,department,12
England,London,cancel,12
Tianjin,Huainan,department,12
Indiana,Indianapolis,cart,12
Guangdong,Foshan,department,12
Occitanie,Toulouse,cart,12
Fujian,Beijing,department,12
Guangdong,Baoding,cart,12
Jiangsu,Chongqing,cart,12
São Paulo,Limeira,product,12
Jiangsu,Beijing,product,12
Beijing,NanNing,department,12
Sichuan,Guangzhou,department,12
Jiangsu,Xiamen,product,12
Guangdong,Nanchang,product,12
California,San Diego,product,12
Shanghai,Jinhua,product,12
Zhejiang,Dongguan,cart,12
Zhejiang,Chongqing,product,12
Nordrhein-Westfalen,Köln,department,12
Hainan,Maoming,cart,12
North Carolina,Raleigh,department,11
Jiangsu,Xiamen,department,11
Gwangju,Gwangju,product,11
Daejeon,Daejeon,department,11
Hunan,Foshan,product,11
São Paulo,Limeira,department,11
Shandong,Shanghai,product,11
Liaoning,Wuhan,cart,11
Chongqing,Dalian,cart,11
Gwangju,Gwangju,department,11
Tianjin,Shanghai,cart,11
Fujian,Shanghai,product,11
Mato Grosso do Sul,Ponta Porã,department,11
Shanghai,Tianjin,cart,11
Inner Mongolia Autonomous Region,Shan Tou,cart,11
Anhui,Wuhan,department,11
Nordrhein-Westfalen,Bochum,cart,11
Inner Mongolia Autonomous Region,Wuhan,cart,11
São Paulo,São Paulo,purchase,11
Tianjin,Beijing,product,11
Jiangsu,Chongqing,product,11
Henan,Kunming,department,11
Guangdong,Jieyang,product,11
Lubuskie,Gorzów Wielkopolski,cart,11
Jiangsu,Beijing,cart,11
Henan,Shan Tou,department,11
Gyeonggi-do,Seongnam City,department,11
Henan,Huizhou,product,11
Guangdong,Shijiazhuang,department,11
Maryland,Baltimore,department,11
Henan,Hangzhou,product,11
Anhui,Wuhan,product,11
Gyeongsangnam-do,Gimhae City,department,11
Arizona,Tucson,product,11
Shanghai,Shenzhen,cart,11
Pará,Ananindeua,department,11
Pará,Parauapebas,department,11
Minas Gerais,Belo Horizonte,product,11
Guangxi Zhuang Autonomous Region,Shenzhen,product,11
Zhejiang,Zhengzhou,cart,11
Guangdong,Lan'Zhou,cart,11
Beijing,Wenzhou,department,11
Liaoning,Huizhou,product,11
Rio Grande do Sul,Porto Alegre,cart,11
Jiangxi,Huizhou,product,11
Hubei,Dalian,cart,11
Jilin,Shanghai,department,11
Sichuan,Guangzhou,product,11
Shanxi,Tianjin,product,11
Hebei,Zhangzhou,product,11
Sergipe,Taiçoca,product,11
Guangdong,Changsha,department,11
Guangdong,Chat,product,11
Pará,Parauapebas,cart,11
Beijing,Zhongshan,cart,11
Henan,Wuhan,department,11
Beijing,Zhongshan,department,11
Oklahoma,Oklahoma City,department,11
Hebei,Zhanjiang,cart,11
Zhejiang,Hangzhou,department,11
Dolnośląskie,Bogatynia,department,11
Chongqing,Shanghai,department,11
Shanghai,Dalian,cart,11
Jiangxi,Jinan,department,11
Hebei,Dongguan,department,11
Hebei,Dongguan,product,11
Minas Gerais,Belo Horizonte,department,11
Maranhão,Paço do Lumiar,department,11
Kentucky,Lexington,department,11
Indiana,Indianapolis,department,11
Shaanxi,Shenzhen,cart,11
Chongqing,Putian,product,11
Guangxi Zhuang Autonomous Region,Maoming,product,11
Guangdong,Baoding,product,11
Texas,El Paso,department,11
Tennessee,Nashville,product,11
Guangdong,Yinchuan,product,11
Heilongjiang,Dongguan,product,11
Guizhou,Shenzhen,cart,11
Guangdong,Shanwei,cart,11
Andalucía,Málaga,department,11
Fujian,Foshan,product,10
Rio de Janeiro,Itaboraí,product,10
Guangdong,Nanchang,cart,10
Henan,Shijiazhuang,cart,10
Maryland,Baltimore,product,10
Rio de Janeiro,Niterói,department,10
Shanghai,Xi'an,department,10
Shanghai,Hangzhou,cart,10
Zhejiang,Wenzhou,product,10
Fujian,Beijing,product,10
Arizona,Tucson,department,10
Henan,Shenyang,department,10
California,Anaheim,department,10
Maranhão,São José de Ribamar,department,10
Hubei,Beijing,product,10
Guangdong,Ningbo,product,10
Fujian,Beijing,cart,10
Hubei,Shenzhen,department,10
Shaanxi,Beijing,cart,10
Auvergne-Rhône-Alpes,Lyon,department,10
California,Sacramento,department,10
Jiangsu,Yichang,product,10
Flanders,Antwerp,cart,10
Gyeonggi-do,Goyang City,cart,10
Jilin,Shanghai,cart,10
Jilin,Shenzhen,cart,10
Guangxi Zhuang Autonomous Region,Xiamen,product,10
Guangxi Zhuang Autonomous Region,Xiamen,department,10
Rio Grande do Norte,Parnamirim,cart,10
Andalucía,Granada,product,10
California,Los Angeles,purchase,10
Texas,Austin,product,10
Sichuan,Shenzhen,department,10
Illinois,Chicago,cancel,10
Kanagawa,Sagamihara City,product,10
Oregon,Portland,product,10
Jiangxi,Changchun,product,10
California,Riverside,department,10
Gyeonggi-do,Anyang City,department,10
Beijing,Taizhou,product,10
Wisconsin,Milwaukee,product,10
Bahia,Lauro de Freitas,product,10
Amapá,Macapá,product,10
England,Stoke-on-Trent,department,10
Jiangxi,Hohhot,product,10
Shandong,Taizhou,product,10
São Paulo,Campinas,cart,10
Shandong,Shanghai,cart,10
São Paulo,Franca,product,10
England,Coventry,department,10
Incheon Metropolitan City,Incheon Metropolitan City,cancel,10
South Dakota,Sioux Falls,product,10
Tennessee,Nashville,cart,10
Chongqing,Shanghai,product,10
Beijing,Qingdao,department,10
Hebei,Handan,department,10
Guizhou,Shenzhen,department,10
Jilin,Chengdu,cart,10
Nordrhein-Westfalen,Düsseldorf,product,10
Tianjin,Huaibei,product,10
Heilongjiang,Foshan,product,10
England,Leeds,cart,10
Guangdong,Yueyang,cart,10
Anhui,Hangzhou,product,10
Minas Gerais,Montes Claros,cart,10
England,Leicester,department,10
Guangdong,Hefei,cart,10
Henan,Anshun,product,10
Zhejiang,Qingdao,cart,10
Fujian,Shanghai,cart,10
England,London,purchase,10
Jiangsu,Handan,product,10
California,San Francisco,cart,10
Hunan,Barin Guo Yu Mongolu Autonomous Prefecture,product,10
Jiangsu,Beijing,department,10
Hubei,Zhengzhou,product,10
Shanghai,Guiyang,cart,10
Tianjin,Chongqing,product,10
North Carolina,Charlotte,cart,10
Minas Gerais,Montes Claros,department,10
Zhejiang,Nanjing,product,10
Fujian,Xi'an,product,10
Andalucía,Sevilla,cart,10
Heilongjiang,Lan'Zhou,cart,10
Daejeon,Daejeon,cart,10
Nordrhein-Westfalen,Gelsenkirchen,department,10
Guangdong,Fuzhou,department,10
Texas,Dallas,department,10
Jiangsu,Liaoyang,product,10
Guangdong,Haikou,product,10
Gyeonggi-do,Seongnam City,cart,10
Hunan,Wenzhou,product,10
Virginia,Virginia Beach,cart,10
Hubei,Beijing,cart,9
Jiangsu,Xi'an,department,9
Bahia,Salvador,home,9
Goiás,Goiânia,department,9
Shandong,Baoding,product,9
California,Bakersfield,product,9
Jiangsu,Hefei,cart,9
Maranhão,São Luís,home,9
Guangdong,NanNing,department,9
Jiangsu,Shenyang,product,9
Beijing,Hengshui,product,9
Inner Mongolia Autonomous Region,Shenzhen,product,9
Jiangsu,Hefei,product,9
Shandong,Linyi,department,9
Jiangsu,Tacheng area,product,9
Shaanxi,Nanjing,department,9
Jiangxi,Chengdu,product,9
Fujian,Shenzhen,department,9
Texas,San Antonio,product,9
Fujian,Xi'an,department,9
Hunan,Suzhou,department,9
Guangdong,Hanzhong,product,9
Shanghai,Hangzhou,department,9
Rio Grande do Sul,Porto Alegre,department,9
Hubei,Nantong,department,9
Hunan,Linyi,product,9
Zhejiang,Huanggang,product,9
Liaoning,Tianjin,product,9
Tokyo,Tokyo,home,9
Zhejiang,Shijiazhuang,cart,9
Shanghai,Fuzhou,product,9
Zhejiang,Suqian,product,9
Ulsan Metropolitan City,Ulsan Metropolitan City,product,9
Zhejiang,Tangshan,department,9
Kentucky,Louisville,product,9
Guangdong,Dandong,cart,9
Tianjin,Shanghai,product,9
Guangdong,Jieyang,cart,9
Hubei,Chengdu,cart,9
Zhejiang,Zhongshan,product,9
Shaanxi,Shijiazhuang,cart,9
Zhejiang,Zhongshan,department,9
Shandong,Xin Yu,product,9
Chongqing,Shanghai,cart,9
Chung-cheong bukdo,Cheongju City,cart,9
Guangdong,Beijing,cancel,9
California,Bell Gardens,cart,9
Zhejiang,Zhangye,product,9
Jilin,Shan Tou,department,9
Hubei,Dalian,product,9
Shaanxi,Nanchang,cart,9
Kanagawa,Sagamihara City,cart,9
Zhejiang,Hangzhou,cart,9
Kanagawa,Yokohama City,cancel,9
Zhejiang,Harbin,product,9
Rio de Janeiro,Itaboraí,cart,9
Nebraska,Omaha,cart,9
New South Wales,Sydney,purchase,9
Guizhou,Xingtai,product,9
Minas Gerais,Nova Serrana,cart,9
Gyeonggi-do,Gwangmyeong City,product,9
England,Nottingham,department,9
Hebei,Four-stage,cart,9
Guangdong,Shanwei,product,9
Minas Gerais,Belo Horizonte,cart,9
California,Fresno,product,9
Hebei,Fuyang,department,9
Shanxi,Tianjin,cart,9
New South Wales,Sydney,cancel,9
Henan,Shan Tou,cart,9
California,Sacramento,product,9
Victoria,Melbourne,cancel,9
Occitanie,Montpellier,product,9
Anhui,Beijing,department,9
Rio de Janeiro,São Pedro da Aldeia,product,9
Gyeonggi-do,Paju City,department,9
Occitanie,Toulouse,product,9
Minas Gerais,Pouso Alegre,product,9
Henan,Wenzhou,cart,9
Heilongjiang,Jinhua,cart,9
Shanxi,Chengdu,department,9
Henan,Kunming,cart,9
Sichuan,Beijing,product,9
Henan,Hangzhou,cart,9
Henan,Chengdu,product,9
São Paulo,Franca,department,9
Minas Gerais,Ipatinga,product,9
Henan,Changsha,cart,9
Saitama,Saitama City,product,9
Shanxi,Shanghai,cart,9
Saitama,Saitama City,cart,9
Henan,Guangzhou,department,9
California,Stockton,cart,9
Guangdong,Wenzhou,cart,9
North Carolina,Raleigh,product,9
Gyeonggi-do,Gwangmyeong City,department,9
Hebei,Chongqing,product,9
Hebei,City of Yantai,department,9
Florida,Jacksonville,cart,9
Ningxia Hui Autonomous Region,Shenzhen,department,9
Minas Gerais,Montes Claros,product,9
São Paulo,Jundiaí,product,9
Florida,Miami,cart,9
Nordrhein-Westfalen,Bochum,product,9
Florida,Miami,product,9
Minas Gerais,Conselheiro Lafaiete,product,9
Sachsen,Dresden,department,9
Henan,Shijiazhuang,product,9
Guangdong,Zhengzhou,product,9
Guangdong,Shan Tou,product,9
Ohio,Columbus,cart,9
São Paulo,São José dos Campos,product,9
Hebei,Wuhan,product,9
Rio de Janeiro,Niterói,product,9
Guangdong,Zhengzhou,cart,9
Texas,Houston,home,9
Massachusetts,Boston,department,9
California,Long Beach,cart,9
Florida,Tallahassee,product,9
Osaka,Osaka City,product,9
Shanghai,Wuhan,department,9
California,San Jose,cart,9
Hebei,Qiqihar,department,9
Guangxi Zhuang Autonomous Region,Changzhou,cart,8
Chungcheongnam-do,Cheonan City,department,8
Bremen,Bremen,department,8
Rio Grande do Sul,Porto Alegre,product,8
Fujian,Suzhou,department,8
Bremen,Bremen,product,8
Berlin,Berlin,cancel,8
Hunan,Shanghai,cart,8
Anhui,Hangzhou,department,8
Hebei,Xingtai,department,8
Fujian,Suzhou,product,8
Shandong,Zhengzhou,cart,8
Liaoning,Loudi,product,8
Shaanxi,Shenzhen,department,8
Hebei,Shenzhen,product,8
Pernambuco,Escada,product,8
Guangdong,Wuhan,home,8
Kanagawa,Kawasaki City,department,8
Sichuan,Guiyang,cart,8
Guangxi Zhuang Autonomous Region,Changzhou,department,8
Guangdong,Yueyang,department,8
Guangdong,Chat,department,8
Chongqing,Ganzhou,product,8
