postal_code,event_type,id
02675-031,product,83
02675-031,cart,76
02675-031,department,71
40301-110,product,62
70297-400,department,44
40301-110,department,39
70297-400,cart,38
70297-400,product,35
40301-155,product,35
40301-110,cart,34
40301-155,cart,30
361006,product,28
40301-155,department,27
25265-008,product,20
30000,product,18
201499,product,18
518102,product,18
59,cart,18
102208,product,18
25265-008,department,16
523850,product,16
65137-000,cart,16
518172,product,15
418099,product,15
130062,product,15
100081,product,15
361006,department,15
518024,department,15
25213-005,product,15
361006,cart,14
40301-110,purchase,14
361001,product,14
518103,product,14
518114,product,14
518126,product,14
528251,product,14
201499,cart,14
59,product,14
116100,product,14
230041,product,14
518102,department,14
325206,product,14
66,department,13
430032,department,13
200093,product,13
516221,cart,13
68380-000,cart,13
100073,product,13
81020-490,cart,13
230012,product,13
518109,product,13
43700-000,product,13
518109,department,13
82590-300,cart,13
70297-400,cancel,13
518112,product,13
65137-000,department,13
60714-222,cart,13
518131,product,13
471003,cart,12
523850,department,12
81020-490,product,12
81020-490,department,12
132001,department,12
610031,department,12
550009,department,12
523900,cart,12
422001,product,12
210017,product,12
518105,product,12
430074,product,12
518042,cart,12
571100,cart,12
102676,cart,12
300393,department,12
14017,department,12
325299,product,12
102676,product,11
523850,cart,11
117021,product,11
116100,cart,11
230036,product,11
230036,department,11
200333,cart,11
71051,cart,11
518024,product,11
523900,product,11
325299,department,11
471003,product,11
59,department,11
528051,product,11
02675-031,cancel,11
200081,department,11
30072,product,11
528248,product,11
430032,product,11
200125,department,11
610081,department,11
49160-000,product,11
75100,cart,11
100043,cart,11
161006,product,11
536063,product,11
68515-000,department,11
523400,department,11
82590-300,department,11
404031,cart,11
68447-000,cart,11
66,cart,11
518104,cart,11
79900-000,department,11
68515-000,cart,11
125063,product,10
528247,product,10
65110-000,department,10
414000,product,10
518105,cart,10
10031,product,10
67000-000,cart,10
361022,product,10
201201,product,10
523770,cart,10
610081,product,10
300399,product,10
101401,product,10
100084,product,10
311101,product,10
214433,product,10
42700-000,product,10
528051,department,10
523500,product,10
40301-110,cancel,10
518111,cart,10
325401,product,10
453007,department,10
456550,product,10
516001,product,10
201204,cart,10
410001,product,10
67000-000,department,10
330038,product,10
518102,cart,10
201615,cart,10
132000,cart,10
201614,department,10
518103,cart,10
150076,cart,10
68447-000,department,10
100043,department,10
226001,product,10
300170,product,10
25213-005,department,10
430079,product,10
610504,department,10
201204,department,10
200062,department,10
24800,product,10
25265-008,cart,10
222002,product,10
200050,product,10
330009,product,10
200436,cart,9
516001,cart,9
518110,product,9
518128,cart,9
130062,cart,9
518172,cart,9
201318,department,9
610031,cart,9
201101,product,9
325299,cart,9
